name,category,total_calls,total_duration,avg_duration,max_duration,pct_business_hours,pct_late_night,avg_hour,first_call,last_call,days_active,is_one_off,calls_per_month,is_active,predicted_category
ASBIS Africa,Supplier,9,834,96.0,244,1.0,0.0,9.88888888888889,2024-01-26,2024-02-22,27,False,4.736842105263158,False,Supplier
Aaron,Unknown,1,4,4.0,4,1.0,0.0,10.0,2022-05-27,2022-05-27,0,True,1.0,False,Service Provider
Abbas,Unknown,2,78,39.0,73,1.0,0.0,10.0,2022-05-27,2022-05-27,0,False,2.0,False,Service Provider
Abbott,Unknown,1,18,18.0,18,1.0,0.0,9.0,2023-03-22,2023-03-22,0,True,1.0,False,Service Provider
Abdol,Unknown,130,8097,18.0,462,0.6153846153846154,0.0153846153846153,14.223076923076922,2022-05-27,2022-07-03,37,False,58.208955223880594,False,Family
Abdool,Unknown,11,218,8.0,62,0.9090909090909092,0.0,11.181818181818182,2023-03-22,2024-09-28,556,False,0.5631399317406143,True,Supplier
Abdul,Unknown,26,486,9.5,170,0.1923076923076923,0.0384615384615384,17.03846153846154,2022-05-27,2023-07-17,416,False,1.748878923766816,False,Important Contacts
Abdulla,Unknown,3,90,36.0,48,0.0,0.0,17.333333333333332,2024-02-14,2024-05-04,80,False,0.8181818181818182,False,Supplier
Abel,Unknown,96,9438,41.5,925,0.0416666666666666,0.0208333333333333,18.458333333333332,2022-01-01,2024-06-08,889,False,3.133841131664853,True,Family
Abraham,Unknown,1,11,11.0,11,1.0,0.0,11.0,2024-02-15,2024-02-15,0,True,1.0,False,Service Provider
Abram,Unknown,1,4,4.0,4,0.0,0.0,9.0,2022-05-28,2022-05-28,0,True,1.0,False,Service Provider
Abrams,Unknown,3,1553,456.0,1075,1.0,0.0,14.333333333333334,2023-03-22,2024-03-04,348,False,0.2380952380952381,False,Service Provider
Accountant - Tom,Important Contacts,66,28341,115.5,3693,0.6666666666666666,0.0,13.136363636363637,2022-05-30,2024-10-04,858,False,2.22972972972973,True,Important Contacts
Acton,Unknown,14,1402,83.0,287,0.3571428571428571,0.0714285714285714,15.642857142857142,2022-05-28,2024-07-15,779,False,0.5191594561186651,True,Important Contacts
Adam,Unknown,9,2334,41.0,1640,0.4444444444444444,0.0,15.77777777777778,2022-01-02,2024-05-01,850,False,0.3068181818181818,False,Family
Adams,Unknown,1,36,36.0,36,0.0,0.0,11.0,2022-05-29,2022-05-29,0,True,1.0,False,Service Provider
Adamson,Unknown,2,13,6.5,7,1.0,0.0,15.0,2024-02-15,2024-02-15,0,False,2.0,False,Supplier
Addison,Unknown,1,6,6.0,6,1.0,0.0,8.0,2024-02-16,2024-02-16,0,True,1.0,False,Service Provider
Adkins,Unknown,2,86,43.0,46,1.0,0.0,11.0,2023-03-23,2023-03-23,0,False,2.0,False,Service Provider
Adolph,Unknown,2,8,4.0,4,1.0,0.0,15.0,2023-03-23,2023-03-23,0,False,2.0,False,Supplier
Adonis,Unknown,11,49,4.0,11,1.0,0.0,12.636363636363637,2023-03-23,2023-04-25,33,False,5.238095238095238,False,Supplier
